유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,상품명,링크
일별통계,2025-10-22,20,,,,,,,,
일별통계,2025-10-23,27,,,,,,,,
일별통계,2025-10-24,28,,,,,,,,
일별통계,2025-10-25,18,,,,,,,,
일별통계,2025-10-26,18,,,,,,,,
카테고리통계,,27,의류 - 아우터,99.8,6,,,,,
카테고리통계,,15,의류 - 전체,95.4,7,,,,,
카테고리통계,,15,의류 - 셔츠,119.4,26,,,,,
카테고리통계,,11,전체,80.4,9,,,,,
카테고리통계,,10,의류 - 스커트,79.8,5,,,,,
카테고리통계,,10,가방 - 숄더백,95.5,11,,,,,
카테고리통계,,5,가방 - 전체,90.8,21,,,,,
카테고리통계,,4,의류 - 데님,144.0,75,,,,,
카테고리통계,,4,가방 - 백액세서리,135.0,90,,,,,
카테고리통계,,3,의류 - 원피스,84.3,27,,,,,
카테고리통계,,2,의류 - 니트,48.0,20,,,,,
카테고리통계,,2,액세서리 - 스카프/머플러,177.5,177,,,,,
카테고리통계,,1,의류 - 티셔츠,60.0,60,,,,,
카테고리통계,,1,의류 - 블라우스,124.0,124,,,,,
카테고리통계,,1,의류 - 팬츠,37.0,37,,,,,
TOP1,,,의류 - 스커트,,5,2025-10-22,83072,0%,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./22/일일_요약_251022_091817.md
TOP2,,,의류 - 아우터,,6,2025-10-22,114988,0%,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./22/일일_요약_251022_091817.md
TOP3,,,가방 - 숄더백,,11,2025-10-23,99000,0%,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],./23/일일_요약_251023_081935.md
TOP4,,,의류 - 스커트,,18,2025-10-23,96492,0%,[채랑 PICK] (CHOCOLATE/S - 11/18 재입고) NEW CLASSIC SUEDE LONG SKIRT [BROWN][CHOCOLATE],./23/일일_요약_251023_081935.md
TOP5,,,의류 - 니트,,20,2025-10-23,121635,0%,[채랑 PICK] HAIRY PLUME KNIT CARDIGAN [3COLORS],./23/일일_요약_251023_081935.md
TOP6,,,가방 - 숄더백,,23,2025-10-24,52976,0%,CRESCENT MOON BAG [5COLORS],./24/일일_요약_251024_082004.md
TOP7,,,의류 - 셔츠,,26,2025-10-23,83776,0%,(3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],./23/일일_요약_251023_081935.md
TOP8,,,의류 - 셔츠,,26,2025-10-24,90816,0%,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],./24/일일_요약_251024_082004.md
TOP9,,,의류 - 원피스,,27,2025-10-23,104940,0%,(2차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],./23/일일_요약_251023_081935.md
TOP10,,,의류 - 팬츠,,37,2025-10-24,95040,0%,EMB LOGO JOGGER SWEATPANTS [MELANGE GREY][BLACK],./24/일일_요약_251024_082004.md
