날짜,시간,depth1_카테고리,depth2_카테고리,순위,상품명,가격
2025-10-22,08:01,전체,전체,1,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988
2025-10-22,08:01,전체,전체,2,EMBROIDERY PADDING JACKET [3COLORS],110950
2025-10-22,08:01,전체,전체,3,(2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],278112
2025-10-22,08:01,전체,전체,4,FAUX LEATHER DETAIL QUILTED JACKET [BLACK],118137
2025-10-22,08:01,의류,전체,1,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988
2025-10-22,08:01,의류,전체,2,EMBROIDERY PADDING JACKET [3COLORS],110950
2025-10-22,08:01,의류,전체,3,(2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],278112
2025-10-22,08:01,의류,전체,4,FAUX LEATHER DETAIL QUILTED JACKET [BLACK],118137
2025-10-22,08:01,의류,전체,5,HANDMADE CASHMERE COLLARLESS COAT [OATMEAL][CHARCOAL],197272
2025-10-22,08:01,의류,아우터,1,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988
2025-10-22,08:01,의류,아우터,2,EMBROIDERY PADDING JACKET [3COLORS],110950
2025-10-22,08:01,의류,아우터,3,(2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],278112
2025-10-22,08:01,의류,아우터,4,FAUX LEATHER DETAIL QUILTED JACKET [BLACK],118137
2025-10-22,08:01,의류,아우터,5,HANDMADE CASHMERE COLLARLESS COAT [OATMEAL][CHARCOAL],197272
2025-10-22,08:01,의류,셔츠,1,(3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],83776
2025-10-22,08:01,의류,스커트,1,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],83072
2025-10-22,08:01,가방,숄더백,1,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],99000
2025-10-22,08:01,가방,숄더백,2,TWIST STRAP LEATHER MINI BAG [IVORY],74052
2025-10-22,08:01,가방,숄더백,3,TWIST STRAP LEATHER BIG BAG [BROWN],81532
