날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,상품URL
2025-10-30,08:22,하시에,전체,전체,14,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-30,08:22,하시에,전체,전체,188,FOX FUR HOODED GOOSE DOWN LONG JUMPER [3COLORS],314700,https://m.wconcept.co.kr/Product/301497840
2025-10-30,08:22,하시에,전체,전체,190,HANDMADE CASHMERE COLLARLESS COAT [OATMEAL][CHARCOAL],197272,https://m.wconcept.co.kr/Product/306110668
2025-10-30,08:22,하시에,의류,전체,12,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-30,08:22,하시에,의류,전체,154,FOX FUR HOODED GOOSE DOWN LONG JUMPER [3COLORS],314700,https://m.wconcept.co.kr/Product/301497840
2025-10-30,08:22,하시에,의류,전체,156,HANDMADE CASHMERE COLLARLESS COAT [OATMEAL][CHARCOAL],197272,https://m.wconcept.co.kr/Product/306110668
2025-10-30,08:22,하시에,의류,전체,171,STRING DETAIL GOOSE DOWN SHORT JACKET [3COLORS],178840,https://m.wconcept.co.kr/Product/302070873
2025-10-30,08:22,하시에,의류,아우터,11,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-30,08:22,하시에,의류,아우터,109,FOX FUR HOODED GOOSE DOWN LONG JUMPER [3COLORS],314700,https://m.wconcept.co.kr/Product/301497840
2025-10-30,08:22,하시에,의류,아우터,111,HANDMADE CASHMERE COLLARLESS COAT [OATMEAL][CHARCOAL],197272,https://m.wconcept.co.kr/Product/306110668
2025-10-30,08:22,하시에,의류,아우터,124,STRING DETAIL GOOSE DOWN SHORT JACKET [3COLORS],178840,https://m.wconcept.co.kr/Product/302070873
2025-10-30,08:22,하시에,의류,셔츠,146,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],102168,https://m.wconcept.co.kr/Product/307414592
2025-10-30,08:22,하시에,의류,셔츠,190,TULIP WIRE HEM LINE SHIRT [WHITE][BUTTER YELLOW],90816,https://m.wconcept.co.kr/Product/306918734
2025-10-30,08:22,하시에,의류,티셔츠,47,[채랑 PICK] COLOR BLOCK RINGER TOP [3COLORS],33748,https://m.wconcept.co.kr/Product/306105578
2025-10-30,08:22,하시에,의류,팬츠,81,VERTICAL STRIPE BANDING PANTS [3COLORS],81532,https://m.wconcept.co.kr/Product/305871414
2025-10-30,08:22,하시에,의류,데님,112,[채랑 PICK] CURVED DENIM PANTS [3COLORS],78540,https://m.wconcept.co.kr/Product/306668439
2025-10-30,08:22,하시에,의류,데님,146,[채랑 PICK] VINTAGE VELVET WIDE CURVED DENIM PANTS [3COLORS],111452,https://m.wconcept.co.kr/Product/307414606
2025-10-30,08:22,하시에,의류,데님,175,SLIM STRAIGHT FIT DENIM PANTS [BLUE][BLACK],37400,https://m.wconcept.co.kr/Product/301454148
2025-10-30,08:22,하시에,가방,전체,76,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],99000,https://m.wconcept.co.kr/Product/307456275
2025-10-30,08:22,하시에,가방,숄더백,37,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],99000,https://m.wconcept.co.kr/Product/307456275
2025-10-30,08:22,하시에,가방,백액세서리,84,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],19712,https://m.wconcept.co.kr/Product/306105587
2025-10-30,08:22,하시에,액세서리,스카프/머플러,129,WOOL BLENDED LEOPARD SHAWL MUFFLER [MOCHA],83160,https://m.wconcept.co.kr/Product/307414607
