날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,할인율,상품URL
2025-11-06,09:19,하시에,전체,전체,18,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,,https://m.wconcept.co.kr/Product/303596201
2025-11-06,09:19,하시에,전체,전체,65,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,,https://m.wconcept.co.kr/Product/307463098
2025-11-06,09:19,하시에,의류,전체,11,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,,https://m.wconcept.co.kr/Product/303596201
2025-11-06,09:19,하시에,의류,전체,49,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,,https://m.wconcept.co.kr/Product/307463098
2025-11-06,09:19,하시에,의류,전체,174,[ITALY] TWILL TEXTURE WOOL SHORT JACKET [BLACK],251555,,https://m.wconcept.co.kr/Product/307456255
2025-11-06,09:19,하시에,의류,아우터,10,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,,https://m.wconcept.co.kr/Product/303596201
2025-11-06,09:19,하시에,의류,아우터,33,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,,https://m.wconcept.co.kr/Product/307463098
2025-11-06,09:19,하시에,의류,아우터,110,[ITALY] TWILL TEXTURE WOOL SHORT JACKET [BLACK],251555,,https://m.wconcept.co.kr/Product/307456255
2025-11-06,09:19,하시에,의류,아우터,151,FOX FUR GOOSE DOWN MAXI COAT [TAUPE][BLACK],193345,,https://m.wconcept.co.kr/Product/306151814
2025-11-06,09:19,하시에,의류,아우터,178,CUPRA KNIT COLLAR ZIP-UP PADDING JACKET [IVORY][BLACK],74775,,https://m.wconcept.co.kr/Product/306105652
2025-11-06,09:19,하시에,의류,아우터,181,SNAP BUTTON HIGH NECK PADDING JACKET [3COLORS],107895,,https://m.wconcept.co.kr/Product/303596166
2025-11-06,09:19,하시에,의류,셔츠,55,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],99103,,https://m.wconcept.co.kr/Product/307414592
2025-11-06,09:19,하시에,의류,셔츠,107,HIGH NECK COLLAR ZIP-UP SHIRT [BUTTER YELLOW][BLACK],77080,,https://m.wconcept.co.kr/Product/306668471
2025-11-06,09:19,하시에,의류,셔츠,200,SHEER SATIN BLOUSE [BUTTER YELLOW][BLACK],81263,,https://m.wconcept.co.kr/Product/306918732
2025-11-06,09:19,하시에,의류,니트,115,[채랑 PICK] WOOL BLENDED SHAWL MUFFLER [6COLORS],71702,,https://m.wconcept.co.kr/Product/306105575
2025-11-06,09:19,하시에,의류,스커트,59,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],75544,,https://m.wconcept.co.kr/Product/306105637
2025-11-06,09:19,하시에,의류,스커트,88,WHIP CORD WRAP SKIRT [BLACK],117455,,https://m.wconcept.co.kr/Product/306668436
2025-11-06,09:19,하시에,의류,팬츠,35,FRONT SLIT WOOL TAILORED PANTS [3COLORS],73751,,https://m.wconcept.co.kr/Product/301857908
2025-11-06,09:19,하시에,의류,데님,62,SLIM STRAIGHT FIT DENIM PANTS [BLUE][BLACK],29022,,https://m.wconcept.co.kr/Product/301454148
2025-11-06,09:19,하시에,의류,데님,179,EMBROIDERED LOGO TWO-TUCK DENIM PANTS [LIGHT BLUE],68715,,https://m.wconcept.co.kr/Product/305707396
2025-11-06,09:19,하시에,의류,데님,184,HIGH-RISE SEMI BOOTS CUT JEANS [DARK GREY][MIDDLE BLUE],68715,,https://m.wconcept.co.kr/Product/305871432
2025-11-06,09:19,하시에,가방,전체,65,TWIST STRAP LEATHER BIG BAG [BLACK],74434,,https://m.wconcept.co.kr/Product/306772192
2025-11-06,09:19,하시에,가방,전체,73,CRESCENT MOON BAG [5COLORS],58728,,https://m.wconcept.co.kr/Product/303596708
2025-11-06,09:19,하시에,가방,전체,106,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],85360,,https://m.wconcept.co.kr/Product/307456275
2025-11-06,09:19,하시에,가방,숄더백,34,TWIST STRAP LEATHER BIG BAG [BLACK],74434,,https://m.wconcept.co.kr/Product/306772192
2025-11-06,09:19,하시에,가방,숄더백,37,CRESCENT MOON BAG [5COLORS],58728,,https://m.wconcept.co.kr/Product/303596708
2025-11-06,09:19,하시에,가방,숄더백,55,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],85360,,https://m.wconcept.co.kr/Product/307456275
2025-11-06,09:19,하시에,가방,숄더백,116,FAUX FUR TWIST STRAP MINI BAG [IVORY],92189,,https://m.wconcept.co.kr/Product/307456276
