날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,할인율,상품URL,세일태그,정보태그,상품라벨,서브상품명,당일배송,리뷰수,찜수,리뷰평점,컨텐츠정보
2025-11-07,09:12,하시에,전체,전체,8,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,42%,https://m.wconcept.co.kr/Product/307463098,쓱데이,"쿠폰,단독",[한정특가],[한정특가],N,31,1647,5.0,
2025-11-07,09:12,하시에,전체,전체,159,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,32%,https://m.wconcept.co.kr/Product/303596201,쓱데이,"쿠폰,단독",[한정특가],[한정특가],Y,531,13136,4.9,"{'contentType': 'STYLE_CLIP', 'id': 41306, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d3njqinak5v94bjs20m0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/41306'}"
2025-11-07,09:12,하시에,전체,전체,195,CASHMERE QUILTED PADDING JACKET [CAMEL][BLACK],211732,34%,https://m.wconcept.co.kr/Product/306105655,쓱데이,"쿠폰,단독",[한정특가],[한정특가],Y,4,718,5.0,
2025-11-07,09:12,하시에,의류,전체,8,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,42%,https://m.wconcept.co.kr/Product/307463098,쓱데이,"쿠폰,단독",[한정특가],[한정특가],N,31,1647,5.0,
2025-11-07,09:12,하시에,의류,전체,136,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,32%,https://m.wconcept.co.kr/Product/303596201,쓱데이,"쿠폰,단독",[한정특가],[한정특가],Y,531,13136,4.9,"{'contentType': 'STYLE_CLIP', 'id': 41306, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d3njqinak5v94bjs20m0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/41306'}"
2025-11-07,09:12,하시에,의류,전체,169,CASHMERE QUILTED PADDING JACKET [CAMEL][BLACK],211732,34%,https://m.wconcept.co.kr/Product/306105655,쓱데이,"쿠폰,단독",[한정특가],[한정특가],Y,4,718,5.0,
2025-11-07,09:12,하시에,의류,아우터,6,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,42%,https://m.wconcept.co.kr/Product/307463098,쓱데이,"쿠폰,단독",[한정특가],[한정특가],N,31,1647,5.0,
2025-11-07,09:12,하시에,의류,아우터,73,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,32%,https://m.wconcept.co.kr/Product/303596201,쓱데이,"쿠폰,단독",[한정특가],[한정특가],Y,531,13136,4.9,"{'contentType': 'STYLE_CLIP', 'id': 41306, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d3njqinak5v94bjs20m0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/41306'}"
2025-11-07,09:12,하시에,의류,아우터,89,CASHMERE QUILTED PADDING JACKET [CAMEL][BLACK],211732,34%,https://m.wconcept.co.kr/Product/306105655,쓱데이,"쿠폰,단독",[한정특가],[한정특가],Y,4,718,5.0,
2025-11-07,09:12,하시에,의류,아우터,157,DIAMOND QUILTING FOX FUR LONG COAT [2COLORS],118821,66%,https://m.wconcept.co.kr/Product/307321974,쓱데이,"쿠폰,단독",[한정특가],[한정특가],Y,0,32,,
2025-11-07,09:12,하시에,의류,아우터,180,STRING DETAIL GOOSE DOWN SHORT JACKET [3COLORS],134698,49%,https://m.wconcept.co.kr/Product/302070873,쓱데이,"쿠폰,단독",[한정특가],[한정특가],Y,453,6922,4.9,
