유형,기간,상품수,일평균,카테고리,평균순위,평균가격,최고순위,기록일,가격,할인율,상품명,링크
1주차,1주차,80,16.0,,,,,,,,,
카테고리통계,,17,,의류 > 아우터,99.4,"142,133",,,,,,
카테고리통계,,11,,의류 > 전체,84.8,"153,340",,,,,,
카테고리통계,,10,,전체 > 전체,103.5,"161,120",,,,,,
카테고리통계,,8,,의류 > 셔츠,112.1,"91,367",,,,,,
카테고리통계,,8,,의류 > 스커트,65.5,"79,555",,,,,,
카테고리통계,,8,,가방 > 숄더백,119.2,"79,897",,,,,,
카테고리통계,,6,,의류 > 원피스,152.0,"62,540",,,,,,
카테고리통계,,3,,의류 > 블라우스,92.7,"70,536",,,,,,
카테고리통계,,3,,의류 > 데님,148.3,"80,722",,,,,,
카테고리통계,,2,,가방 > 전체,73.0,"85,360",,,,,,
카테고리통계,,2,,의류 > 니트,102.5,"96,414",,,,,,
카테고리통계,,1,,의류 > 티셔츠,136.0,"88,092",,,,,,
카테고리통계,,1,,액세서리 > 스카프/머플러,130.0,"71,702",,,,,,
TOP1,,,,의류 > 스커트,,,9,2025-11-04,75544,0%,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./04/일일_요약_251104_082145.md
TOP2,,,,의류 > 아우터,,,10,2025-11-05,224511,0%,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],./05/일일_요약_251105_082141.md
TOP3,,,,가방 > 숄더백,,,19,2025-11-02,85360,0%,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],./02/일일_요약_251102_082007.md
TOP4,,,,의류 > 아우터,,,28,2025-11-03,121553,0%,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./03/일일_요약_251103_082017.md
TOP5,,,,의류 > 셔츠,,,29,2025-11-04,99103,0%,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],./04/일일_요약_251104_082145.md
TOP6,,,,의류 > 셔츠,,,36,2025-11-01,81263,0%,[여름 PICK] (3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],./01/일일_요약_251101_082057.md
TOP7,,,,의류 > 블라우스,,,43,2025-11-02,74434,0%,SILKY TIE DETAIL BLOUSE [IVORY][BLACK],./02/일일_요약_251102_082007.md
TOP8,,,,의류 > 아우터,,,43,2025-11-03,135893,0%,[채랑 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [4COLORS],./03/일일_요약_251103_082017.md
TOP9,,,,의류 > 스커트,,,46,2025-11-03,83994,0%,[채랑 PICK] TUCK DETAIL FLARE LONG SKIRT [BEIGE][BROWN],./03/일일_요약_251103_082017.md
TOP10,,,,의류 > 니트,,,63,2025-11-03,108578,0%,[채랑 PICK] HAIRY PLUME KNIT CARDIGAN [3COLORS],./03/일일_요약_251103_082017.md
TOP11,,,,의류 > 아우터,,,76,2025-11-03,150234,0%,FOX FUR GOOSE DOWN LONG PARKA [LIGHT GREY][CHARCOAL],./03/일일_요약_251103_082017.md
TOP12,,,,의류 > 아우터,,,82,2025-11-02,253946,0%,GOOSE DOWN TRENCH COAT [BLACK],./02/일일_요약_251102_082007.md
TOP13,,,,의류 > 원피스,,,86,2025-11-05,70507,0%,(13차 리오더) SATIN SLEEVELESS LONG DRESS [6COLORS],./05/일일_요약_251105_082141.md
TOP14,,,,의류 > 스커트,,,106,2025-11-02,78360,0%,LOW-RISE PLEATS MIDI SKIRT (BELT SET)[BEIGE][NAVY BLACK],./02/일일_요약_251102_082007.md
TOP15,,,,의류 > 데님,,,112,2025-11-02,101749,0%,[채랑 PICK] VINTAGE VELVET WIDE CURVED DENIM PANTS [3COLORS],./02/일일_요약_251102_082007.md
TOP16,,,,가방 > 숄더백,,,119,2025-11-04,58728,0%,CRESCENT MOON BAG [5COLORS],./04/일일_요약_251104_082145.md
TOP17,,,,의류 > 원피스,,,120,2025-11-01,58557,0%,COLLAR DETAIL KNIT DRESS [3COLORS],./01/일일_요약_251101_082057.md
TOP18,,,,의류 > 셔츠,,,126,2025-11-05,88092,0%,[여름 PICK] (3차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [5COLORS],./05/일일_요약_251105_082141.md
TOP19,,,,액세서리 > 스카프/머플러,,,130,2025-11-01,71702,0%,WOOL BLENDED LEOPARD SHAWL MUFFLER [MOCHA],./01/일일_요약_251101_082057.md
TOP20,,,,의류 > 아우터,,,135,2025-11-05,151048,0%,EMBROIDERY PADDING JACKET [3COLORS],./05/일일_요약_251105_082141.md
1주차_TOP1,1주차,,,의류 > 스커트,,,9,2025-11-04,75544,0%,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./2025년_11월_1주차_통계.md
1주차_TOP2,1주차,,,의류 > 아우터,,,10,2025-11-05,224511,0%,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],./2025년_11월_1주차_통계.md
1주차_TOP3,1주차,,,가방 > 숄더백,,,19,2025-11-02,85360,0%,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],./2025년_11월_1주차_통계.md
1주차_TOP4,1주차,,,의류 > 아우터,,,28,2025-11-03,121553,0%,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./2025년_11월_1주차_통계.md
1주차_TOP5,1주차,,,의류 > 셔츠,,,29,2025-11-04,99103,0%,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],./2025년_11월_1주차_통계.md
