날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2026-02-08,08:34,303596201,105980,하시에,HACIE,전체,전체,패딩,102,[지우 PICK] (6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],[한정특가],,[한정특가],178000,133500,117480,117480,34%,https://m.wconcept.co.kr/Product/303596201,https://product-image.wconcept.co.kr/productimg/image/img1/01/303596201_LI16264.jpg,,"쿠폰,단독",Y,646,14451,4.9,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,"{'contentType': 'STYLE_CLIP', 'id': 41306, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d3njqinak5v94bjs20m0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/41306'}"
2026-02-08,08:34,303596201,105980,하시에,HACIE,의류,전체,패딩,80,[지우 PICK] (6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],[한정특가],,[한정특가],178000,133500,117480,117480,34%,https://m.wconcept.co.kr/Product/303596201,https://product-image.wconcept.co.kr/productimg/image/img1/01/303596201_LI16264.jpg,,"쿠폰,단독",Y,646,14451,4.9,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,"{'contentType': 'STYLE_CLIP', 'id': 41306, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d3njqinak5v94bjs20m0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/41306'}"
2026-02-08,08:34,303596201,105980,하시에,HACIE,의류,아우터,패딩,40,[지우 PICK] (6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],[한정특가],,[한정특가],178000,133500,117480,117480,34%,https://m.wconcept.co.kr/Product/303596201,https://product-image.wconcept.co.kr/productimg/image/img1/01/303596201_LI16264.jpg,,"쿠폰,단독",Y,646,14451,4.9,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,"{'contentType': 'STYLE_CLIP', 'id': 41306, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d3njqinak5v94bjs20m0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/41306'}"
2026-02-08,08:34,306105653,105980,하시에,HACIE,의류,아우터,패딩,91,COLLARLESS QUILTED PADDING JACKET [CREAM][BLACK],[한정특가],,[한정특가],182000,91000,80080,80080,56%,https://m.wconcept.co.kr/Product/306105653,https://product-image.wconcept.co.kr/productimg/image/img1/53/306105653_IG46339.jpg,,"쿠폰,단독",Y,81,1568,4.8,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,
2026-02-08,08:34,306105744,105980,하시에,HACIE,의류,아우터,코트,154,HANDMADE CASHMERE HOODED COAT [3COLORS],[한정특가],,[한정특가],405000,81000,71280,71280,82%,https://m.wconcept.co.kr/Product/306105744,https://product-image.wconcept.co.kr/productimg/image/img1/44/306105744_GG86483.jpg,,"쿠폰,단독",Y,30,1316,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-08,08:34,303596751,105980,하시에,HACIE,의류,아우터,패딩,193,TOGGLE BUTTON GOOSE DOWN LONG JUMPER [BLACK],[한정특가],,[한정특가],348000,104400,91872,91872,74%,https://m.wconcept.co.kr/Product/303596751,https://product-image.wconcept.co.kr/productimg/image/img1/51/303596751_NM18453.jpg,,"쿠폰,단독",Y,47,1550,4.7,01,15,2024-01-17T10:00:00,2024-01-18T10:00:00,
2026-02-08,08:34,306105678,105980,하시에,HACIE,의류,아우터,코트,195,[여름 PICK] HANDMADE CASHMERE ROBE COAT [CAMEL][BLACK],[한정특가],,[한정특가],529000,264500,232760,232760,56%,https://m.wconcept.co.kr/Product/306105678,https://product-image.wconcept.co.kr/productimg/image/img1/78/306105678_GG17319.jpg,,"쿠폰,단독",Y,9,693,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,"{'contentType': 'STYLE_CLIP', 'id': 16549, 'profileSeqNo': 2319, 'vid': 'v1119cg50000cue7tunak5v453cbq7hg', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/16549'}"
2026-02-08,08:34,301454263,105980,하시에,HACIE,의류,원피스,미디,75,(14차 리오더) SATIN SLEEVELESS LONG DRESS [6COLORS],[한정특가],,[한정특가],118000,94400,83072,83072,30%,https://m.wconcept.co.kr/Product/301454263,https://product-image.wconcept.co.kr/productimg/image/img1/63/301454263_JG23749.jpg,,"쿠폰,단독",Y,403,6375,4.9,01,15,2024-06-14T10:00:00,2024-06-17T10:00:00,
2026-02-08,08:34,302768208,105980,하시에,HACIE,의류,원피스,맥시,192,[단독](16차 리오더) AVEC HACIE COTTON LONG DRESS [CHARCOAL],[한정특가],,[한정특가],94000,75200,66176,66176,30%,https://m.wconcept.co.kr/Product/302768208,https://product-image.wconcept.co.kr/productimg/image/img1/08/302768208_LH50076.jpg,,"쿠폰,단독",Y,660,8130,4.9,01,15,2025-09-15T10:00:00,2025-09-16T10:00:00,
2026-02-08,08:34,306918731,105980,하시에,HACIE,의류,셔츠,셔츠,44,[여름 PICK] (3차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [5COLORS],[한정특가],,[한정특가],129000,103200,90816,90816,30%,https://m.wconcept.co.kr/Product/306918731,https://product-image.wconcept.co.kr/productimg/image/img1/31/306918731_GG50144.jpg,,"쿠폰,단독",Y,120,2126,4.9,01,15,2025-08-11T10:00:00,2025-08-14T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 37311, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d2ra09vak5v2u79gi0t0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/37311'}"
2026-02-08,08:34,308132890,105980,하시에,HACIE,의류,셔츠,셔츠,73,[리퍼브] NEW LAYERED CUFFS COTTON SHIRT [WHITE],,,,119000,35700,35700,35700,70%,https://m.wconcept.co.kr/Product/308132890,https://product-image.wconcept.co.kr/productimg/image/img1/90/308132890_GL15504.jpg,,단독,N,0,14,,01,15,2025-04-09T10:00:00,2025-04-11T10:00:00,
2026-02-08,08:34,308132892,105980,하시에,HACIE,의류,셔츠,셔츠,153,[리퍼브] CRINKLE ZIP-UP SHIRT [BLACK],,,,129000,38700,38700,38700,70%,https://m.wconcept.co.kr/Product/308132892,https://product-image.wconcept.co.kr/productimg/image/img1/92/308132892_GM49119.jpg,,단독,N,0,18,,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-08,08:34,306918733,105980,하시에,HACIE,의류,셔츠,셔츠,174,[채랑 PICK] SHEER STRIPE COTTON SHIRT [WHITE][SKYBLUE],[한정특가],,[한정특가],129000,103200,90816,90816,30%,https://m.wconcept.co.kr/Product/306918733,https://product-image.wconcept.co.kr/productimg/image/img1/33/306918733_IO88843.jpg,,"쿠폰,단독",Y,7,627,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-08,08:34,306668468,105980,하시에,HACIE,의류,티셔츠,슬리브리스,73,LAYERED STRAP BUSTIER [GREY][BLACK],[한정특가],,[한정특가],69000,20700,18216,18216,74%,https://m.wconcept.co.kr/Product/306668468,https://product-image.wconcept.co.kr/productimg/image/img1/68/306668468_GL84183.jpg,,"쿠폰,단독",Y,0,39,,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-08,08:34,307665574,105980,하시에,HACIE,의류,스커트,롱,35,[리퍼브] STRAIGHT BELT LONG SKIRT [IVORY][BLACK],,,,119000,29750,29750,29750,75%,https://m.wconcept.co.kr/Product/307665574,https://product-image.wconcept.co.kr/productimg/image/img1/74/307665574_HI20634.jpg,,단독,N,1,4,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-08,08:34,305707728,105980,하시에,HACIE,의류,스커트,롱,47,CRINKLE SATIN LONG SKIRT [5COLORS],[한정특가],,[한정특가],105000,52500,46200,46200,56%,https://m.wconcept.co.kr/Product/305707728,https://product-image.wconcept.co.kr/productimg/image/img1/28/305707728_GG79884.jpg,,"쿠폰,단독",Y,39,2455,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-08,08:34,305707459,105980,하시에,HACIE,의류,스커트,롱,181,STRAIGHT BELT LONG SKIRT [IVORY][BLACK],[한정특가],,[한정특가],119000,35700,31416,31416,74%,https://m.wconcept.co.kr/Product/305707459,https://product-image.wconcept.co.kr/productimg/image/img1/59/305707459_HI20634.jpg,,"쿠폰,단독",Y,9,155,4.8,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-08,08:34,306105636,105980,하시에,HACIE,의류,팬츠,쇼츠,11,[채랑 PICK] DOUBLE WAIST WOOL BLENDED HALF PANTS [3COLORS],[한정특가],,[한정특가],119000,59500,52360,52360,56%,https://m.wconcept.co.kr/Product/306105636,https://product-image.wconcept.co.kr/productimg/image/img1/36/306105636_MO32189.jpg,,"쿠폰,단독",Y,32,317,4.8,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-08,08:34,306105587,105980,하시에,HACIE,가방,백액세서리,키링,47,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],[한정특가],,[한정특가],32000,9600,9600,9600,70%,https://m.wconcept.co.kr/Product/306105587,https://product-image.wconcept.co.kr/productimg/image/img1/87/306105587_GI38630.jpg,,단독,Y,110,1881,4.9,01,15,2025-08-16T10:00:00,2025-08-17T10:00:00,
