유형,기간,상품수,일평균,카테고리,평균순위,평균가격,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
1주차,1주차,215,30.7,,,,,,,,,,,,,
2주차,2주차,131,18.7,,,,,,,,,,,,,
3주차,3주차,128,18.3,,,,,,,,,,,,,
4주차,4주차,108,15.4,,,,,,,,,,,,,
카테고리통계,,151,,의류 - 아우터,94.7,"127,253",,,,,,,,,,
카테고리통계,,82,,의류 - 셔츠,114.6,"75,972",,,,,,,,,,
카테고리통계,,71,,의류 - 전체,96.8,"127,637",,,,,,,,,,
카테고리통계,,53,,전체,97.8,"131,460",,,,,,,,,,
카테고리통계,,43,,의류 - 스커트,105.7,"55,663",,,,,,,,,,
카테고리통계,,40,,의류 - 원피스,125.9,"68,161",,,,,,,,,,
카테고리통계,,27,,의류 - 데님,108.1,"53,494",,,,,,,,,,
카테고리통계,,24,,가방 - 백액세서리,50.1,"11,003",,,,,,,,,,
카테고리통계,,18,,의류 - 팬츠,118.6,"56,798",,,,,,,,,,
카테고리통계,,15,,가방 - 숄더백,100.7,"52,116",,,,,,,,,,
카테고리통계,,14,,의류 - 티셔츠,133.1,"55,836",,,,,,,,,,
카테고리통계,,12,,가방 - 전체,119.6,"34,494",,,,,,,,,,
카테고리통계,,11,,액세서리 - 모자,97.9,"21,240",,,,,,,,,,
카테고리통계,,8,,의류 - 블라우스,93.2,"47,342",,,,,,,,,,
카테고리통계,,6,,액세서리 - 스카프/머플러,115.5,"68,518",,,,,,,,,,
TOP1,,,,가방 - 백액세서리,,,1,2026-02-07,9600,70%,클리어런스,102,1824,4.8,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./07/일일_요약_260207_083118.md
TOP2,,,,의류 - 아우터,,,4,2026-02-13,117480,34%,클리어런스,642,14353,4.9,[지우 PICK] (6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./13/일일_요약_260213_083457.md
TOP3,,,,의류 - 전체,,,5,2026-02-03,203280,56%,,94,5289,4.9,"[민경,유니 PICK] CLOUD TRENCH GOOSE DOWN COAT [IVORY][BLACK]",./03/일일_요약_260203_083341.md
TOP4,,,,의류 - 아우터,,,5,2026-02-06,54960,76%,클리어런스,124,3029,4.9,EMBROIDERY PADDING JACKET [3COLORS],./06/일일_요약_260206_082829.md
TOP5,,,,의류 - 셔츠,,,7,2026-02-03,90816,30%,클리어런스,117,2114,4.9,[여름 PICK] (3차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [5COLORS],./03/일일_요약_260203_083341.md
TOP6,,,,의류 - 스커트,,,7,2026-02-19,69054,41%,,442,14080,4.9,(12차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./19/일일_요약_260219_083518.md
TOP7,,,,의류 - 원피스,,,10,2026-02-17,56430,58%,,38,3647,4.9,FLORAL PRINT ROBE MAXI DRESS [LIME YELLOW],./17/일일_요약_260217_083434.md
