유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-05-04,8,,,,,,,,,,,,
일별통계,2026-05-05,13,,,,,,,,,,,,
일별통계,2026-05-06,14,,,,,,,,,,,,
일별통계,2026-05-07,10,,,,,,,,,,,,
일별통계,2026-05-08,14,,,,,,,,,,,,
일별통계,2026-05-09,8,,,,,,,,,,,,
일별통계,2026-05-10,11,,,,,,,,,,,,
카테고리통계,,22,의류 - 셔츠,98.9,19,,,,,,,,,
카테고리통계,,12,의류 - 아우터,112.7,8,,,,,,,,,
카테고리통계,,10,의류 - 스커트,83.1,8,,,,,,,,,
카테고리통계,,7,의류 - 티셔츠,115.0,36,,,,,,,,,
카테고리통계,,5,의류 - 원피스,62.8,34,,,,,,,,,
카테고리통계,,4,의류 - 전체,131.8,56,,,,,,,,,
카테고리통계,,4,액세서리 - 패션액세서리,155.5,148,,,,,,,,,
카테고리통계,,3,가방 - 백액세서리,157.7,136,,,,,,,,,
카테고리통계,,2,액세서리 - 스카프/머플러,113.5,50,,,,,,,,,
카테고리통계,,2,전체,119.0,87,,,,,,,,,
카테고리통계,,2,의류 - 데님,118.0,80,,,,,,,,,
카테고리통계,,2,가방 - 숄더백,116.5,110,,,,,,,,,
카테고리통계,,1,액세서리 - 모자,131.0,131,,,,,,,,,
카테고리통계,,1,의류 - 블라우스,80.0,80,,,,,,,,,
카테고리통계,,1,의류 - 니트,21.0,21,,,,,,,,,
TOP1,,,의류 - 아우터,,8,2026-05-05,133091,33%,프리쇼,3,219,5.0,HIGH-NECK ZIP-UP VARSITY JUMPER [IVORY][BLACK],./05/일일_요약_260505_090716.md
TOP2,,,의류 - 스커트,,8,2026-05-08,102168,21%,여름준비,57,3184,5.0,"[여민,지인,경은 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./08/일일_요약_260508_084836.md
TOP3,,,의류 - 셔츠,,19,2026-05-07,73304,38%,프리쇼,50,979,5.0,(4차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],./07/일일_요약_260507_084255.md
TOP4,,,의류 - 셔츠,,20,2026-05-04,86275,33%,여름준비,134,2391,4.9,[여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS],./04/일일_요약_260504_083739.md
TOP5,,,의류 - 니트,,21,2026-05-08,86328,21%,프리쇼,2,335,5.0,[한빛 PICK] OVER-FIT DEEP V-NECK PULL OVER [BUTTER YELLOW][MELANGE GREY],./08/일일_요약_260508_084836.md
TOP6,,,의류 - 원피스,,34,2026-05-06,66176,30%,여름준비,1130,14528,4.9,[단독](18차 리오더) AVEC HACIE COTTON LONG DRESS [IVORY][CHARCOAL],./06/일일_요약_260506_110927.md
TOP7,,,의류 - 티셔츠,,36,2026-05-10,48664,38%,프리쇼,12,437,4.8,LINEN BLENDED LAYERED SLEEVELESS TOP [3COLORS],./10/일일_요약_260510_084030.md
TOP8,,,의류 - 아우터,,40,2026-05-10,157608,21%,여름준비,30,2044,5.0,"[경은,지인 PICK] EMB LOGO VINTAGE WASHED COTTON BLOUSON [3COLORS]",./10/일일_요약_260510_084030.md
TOP9,,,액세서리 - 스카프/머플러,,50,2026-05-04,65835,37%,여름준비,14,325,4.6,(2차 리오더) WOOL BLENDED LEOPARD SHAWL MUFFLER [MOCHA],./04/일일_요약_260504_083739.md
TOP10,,,의류 - 아우터,,58,2026-05-09,102960,47%,프리쇼,8,387,5.0,OVERSIZE WASHED DENIM JACKET [IVORY],./09/일일_요약_260509_085120.md
